record_id,timestamp,study_id,extraction_id,citation,first_author,year,doi,country,n_countries,feedstock_category,specific_feedstock,feedstock_single_or_mixed,feedstock_composition,co_amendment,co_amendment_present,co_amendment_class,carbonization_method,carbonization_atmosphere,biochar_modification,modification_present,modification_class,pyrolysis_temp_c,pyrolysis_temp_min_c,pyrolysis_temp_max_c,pyrolysis_temp_reported,residence_time_min,residence_time_reported,particle_size,particle_size_max_mm,particle_size_class,biochar_ph,biochar_ph_sd,biochar_ph_reported,surface_area_m2_g,surface_area_sd,surface_area_reported,ash_content_pct,ash_content_sd,ash_content_reported,functional_groups,functional_groups_std,cec_cmolc_kg,cec_sd,cec_reported,cec_reported_for,experiment_type,soil_type,soil_type_class,contamination_source,target_metals,n_metals,initial_metal_concentration,soil_ph,soil_ph_sd,soil_ph_reported,biochar_application_rate,application_rate_pct_ww,application_rate_t_ha,soil_incubation,soil_incubation_days,plant_growth_period,plant_growth_days,experimental_duration,experimental_duration_days,leafy_vegetable_species,species_common,species_scientific,n_species,edible_part,soil_bioavailability_method,bioavailability_method_std,change_in_soil_bioavailability,plant_metal_conc_control,plant_metal_conc_treated,change_in_plant_metal_uptake,bcf,baf,tf,hq,hi,cr,bcf_reported,baf_reported,tf_reported,health_risk_reported,immobilization_mechanism,mechanism_std,main_findings,randomization_reported,replication_reported,control_treatment_present,biochar_characterization_adequate,statistical_analysis_reported,overall_risk_of_bias,reviewer_initials
1,2026-06-23 19:10:16,1,1-1,Sandhi et al. 2025,Sandhi,2025,10.1007/s11270-025-08718-0,Denmark; United Kingdom,2,Seed residue,Cereal and grass seed residues,Mixed,Barley; Wheat; Oats; Rye; Forage seed residues; Grass seed residues,None,No,None,Slow pyrolysis,NR,None,No,None,650,650,650,650,,NR,<2.0 mm,2,Sieved,10.2,,10.2,229,,229.0,20.7,,20.7,O-H stretching (3446 /cm); C-O stretching (1091 /cm),OH; C-O,,,NR,NR,Pot,Agricultural soil,Agricultural,Naturally contaminated,As; Cd; Pb; Zn,4,As = 9.1-33 mg/kg; Cd = 0.7-2.7 mg/kg; Pb = 140-952 mg/kg; Zn = 300-1150 mg/kg,7.15,,6.8-7.5,5%,5,,4 weeks,28,4 weeks,28,8 weeks,56,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),Pore water,Pore water,NR (Cd decreased; Zn decreased; As increased; Pb increased),Cd: up to 0.05 mg/kg ww; Zn: up to 18.6 mg/kg ww (soil dependent),Cd: as low as 0.02 mg/kg ww; Zn: as low as 2.9-3.6 mg/kg ww,Cd reduction up to 60%; Zn reduction up to 65.9%; As no consistent reduction; Pb no consistent reduction,"As (Control: 0.009 to 0.02, 5% Biochar: 0.013 to 0.02); Pb (Control: 0.003 to 0.009, 5% Biochar: 0.001 to 0.009); Cd (Control: 0.14 to 1.6, 5% Biochar: 0.14 to 0.76); Zn (Control: 0.03 to 0.26, 5% Biochar: 0.03 to 50.13)",NR,NR,NR,NR,NR,Yes,No,No,No,"Electrostatic adsorption, Surface complexation, Ion exchange, Precipitation, Cation-pi interaction, Metal-DOM complexation; Adsorption to biochar functional groups; Reduced phytoavailability through speciation changes.",Adsorption; Surface complexation; Ion exchange; Precipitation; Electrostatic interaction; Cation-pi interaction; Functional group binding,"Seed-residue biochar (5%) significantly reduced Cd and Zn accumulation in lettuce, particularly Cd, despite limited effects on soil pH and variable effects on metal(loid) solubility.",Yes,Yes,Yes,Yes,Yes,Very low,Nelson
2,2026-06-24 09:23:38,2,2-1,Korkmaz et al. 2026,Korkmaz,2026,10.1186/s12870-025-08051-y,Turkey,1,Husk,Hazelnut husk,Single,Hazelnut husk only,None,No,None,Slow pyrolysis,NR,None,No,None,400,400,400,400,120,120.0,<2.0 mm,2,Sieved,7.64,,7.64,,,NR,,,NR,NR,NR,,,NR,NR,Pot,Agricultural soil,Agricultural,Artificially spiked,Cd,1,1 mg Cd /kg,6.68,,6.68,2%,2,,30 days,30,60 days,60,90 days,90,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),NR,NR,NR,4.62 mg Cd /kg,2.39 mg Cd /kg shoot,48.3% reduction,NR,NR,NR,NR,NR,NR,No,No,No,No,"Electrostatic adsorption, Surface complexation, Cation-pi interaction, Immobilization through increased sorption sites; Reduction of Cd mobility and bioavailability; Competition between Cd and other cations; Improvement of nutrient retention; Moderation of ionic imbalance under salinity.",Adsorption; Surface complexation; Electrostatic interaction; Cation-pi interaction,"Hazelnut husk biochar applied at 2% reduced lettuce shoot Cd concentrations by up to 48%, improved biomass production, enhanced nutrient status, and mitigated salinity stress.",Yes,Yes,Yes,Yes,Yes,Very low,Nelson
3,2026-06-24 16:59:56,4,4-1,Pandey et al. 2024,Pandey,2024,10.1016/j.eti.2024.103775,India,1,Shell,Peanut shell,Single,Peanut shell,Compost,Yes,Organic,Slow pyrolysis,NR,None,No,None,500,500,500,500,,NR,NR,,NR,,,NR,3.74,,3.74,,,NR,O-H (~3446 /cm); C-H (~2918 /cm); aromatic C=C (~1607 /cm); C-O stretching (~1115-1034 /cm) from FTIR spectrum,OH; C=C; C-O; C-H,,,NR,NR,Pot,Agricultural soil (Inceptisol),Agricultural,Artificially spiked,Cd,1,0; 4; 8 mg Cd/kg soil,,,NR,2% BC + 2% Compost,2,,2 days,2,45 days,45,47 days,47,Spinach (Spinacia oleracea),Spinach,Spinacia oleracea,1,Shoot (leaves),Post-harvest soil Cd concentration by acid digestion and AAS,Acid digestion (total),24.00%,5.23 mg Cd/kg leaf dry weight,2.30 mg Cd/kg leaf dry weight,56.0% reduction,NR,NR,NR,NR,NR,NR,No,No,No,No,"Electrostatic adsorption, Cation-pi interaction, Increased soil pH; Cd immobilization; Conversion of Cd into less available forms; Reduced Cd mobility and plant uptake; Synergistic effect of biochar and compost.",Increased soil pH; Adsorption; Electrostatic interaction; Cation-pi interaction,"Peanut shell biochar combined with compost (2%+2%) reduced spinach Cd accumulation by 56%, decreased soil Cd concentration, and improved plant growth and physiological performance.",Yes,Yes,Yes,Yes,Yes,Very low,Nelson
4,2026-06-24 17:12:12,4,4-2,Pandey et al. 2024,Pandey,2024,10.1016/j.eti.2024.103775,India,1,Shell,Peanut shell,Single,Peanut shell,None,No,None,Slow pyrolysis,NR,None,No,None,500,500,500,500,,NR,NR,,NR,,,NR,3.74,,3.74,,,NR,O-H (~3446 /cm); C-H (~2918 /cm); aromatic C=C (~1607 /cm); C-O stretching (~1115-1034 /cm) from FTIR spectrum,OH; C=C; C-O; C-H,,,NR,NR,Pot,Agricultural soil (Inceptisol),Agricultural,Artificially spiked,Cd,1,4 mg Cd/kg soil,,,NR,2%,2,,2 days,2,45 days,45,47 days,47,Spinach (Spinacia oleracea),Spinach,Spinacia oleracea,1,Shoot (leaves),Post-harvest soil Cd concentration by acid digestion and AAS,Acid digestion (total),20.0% reduction,2.57 mg/kg,1.77 mg/kg,31.1% reduction,NR,NR,NR,NR,NR,NR,No,No,No,No,"Electrostatic adsorption, Ion exchange, Cation-pi interaction, Increased soil pH; Cd immobilization; Conversion of Cd into less available forms; Reduced Cd mobility and plant uptake",Increased soil pH; Adsorption; Ion exchange; Electrostatic interaction; Cation-pi interaction,"Peanut shell biochar alone reduced Cd accumulation in spinach leaves, with the strongest reduction observed at 2% BC under 4 mg/kg Cd stress.",Yes,Yes,Yes,Yes,Yes,Very low,Nelson
5,2026-06-29 17:25:18,5,5-1,Dias et al. 2024,Dias,2024,10.3390/min14070732,Brazil,1,Seed residue,Acai seed,Single,Açaí seeds,None,No,None,Slow pyrolysis,NR,None,No,None,400,400,400,400,,NR,NR,,NR,6.71,,6.71,,,NR,3.62,,3.62,NR,NR,13.84,,13.84,biochar,Pot,Gold mining tailings (mine soil),Mine-affected,Naturally contaminated,As,1,As = 3000 mg /kg,6.46,,6.46,2%,2,,1 year,365,70 days,70,435 days,435,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),"Sequential extraction, Simple Bioaccessibility Extraction Test (SBET)",SBET; Sequential extraction,NR,NR,NR,NR,BCF in control = 0.96; BCF after 2% treatment = 0.05,NR,TRF of control = 1.95; TRF after treatment = 0.07,"Evaluated Hazard Quotient for soil ingestion (HQs), the Hazard Quotient for plant ingestion (HQp), and the total Hazard Index (HI) (the sum of HQs and HQp) for both adults and children.","In control, HI > 1.0 for both adults and children; After treatment the HI for adults < 1.0, and for children remained above 1.",carcinogenic HI values for both adults and children were statistically reduced than control,Yes,No,Yes,Yes,"Electrostatic adsorption, Surface complexation, Cation-pi interaction, Increased phosphorus availability; Reduced arsenic bioavailability; Reduced plant uptake",Adsorption; Surface complexation; Electrostatic interaction; Cation-pi interaction,"Açaí seed biochar improved mining-tailings fertility, reduced arsenic uptake by lettuce, and lowered non-carcinogenic human health risks, with greater effects at the 2% application rate.",Yes,Yes,Yes,Yes,Yes,Very low,Nelson
6,2026-06-29 17:50:51,5,5-2,Dias et al. 2024,Dias,2024,10.3390/min14070732,Brazil,1,Seed residue,Acai seed,Single,Açaí seeds,Triple superphosphate (TSP),Yes,Phosphate mineral,Slow pyrolysis,NR,Triple superphosphate (TSP)-enriched biochar,Yes,Phosphate-enriched,400,400,400,400,60,60.0,NR,,NR,3.02,,3.02,,,NR,23.62,,23.62,NR,NR,32.9,,32.9,biochar,Pot,Gold mining tailings (mine soil),Mine-affected,Naturally contaminated,As,1,As = 3000 mg /kg,6.46,,6.46,1% (T + 1.0BT),1,,365 days,365,70 days,70,435 days,435,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),Arsenic sequential fractionation; Simple Bioaccessibility Extraction Test (SBET),SBET,NR,NR,NR,NR,BCF in control = 0.96 and after treatment was 0.14,NR,In control = 1.95; after treatment was 0.45,NR,HI non carcinogenic was above one in control for both adult and children; After treatment HI reduced below 1 for adult but for children reduced but above 1.,HI for carcinogenic reduced from control but remained above of 0.001 after treatment for both.,Yes,No,Yes,Yes,"Electrostatic adsorption, Surface complexation, Increased phosphorus availability; Competitive inhibition between phosphate and arsenate uptake; Increased cation exchange capacity; Reduced arsenic bioavailability; Reduced arsenic translocation to leaves",Adsorption; Surface complexation; Ion exchange; Electrostatic interaction; Phosphate precipitation; Increased CEC,"Triple superphosphate-enriched açaí seed biochar (1%) improved soil fertility, reduced arsenic uptake and human health risks, and enhanced lettuce growth in gold mining tailings.",Yes,Yes,Yes,Yes,Yes,Very low,Nelson
7,2026-06-29 18:08:11,5,5-3,Dias et al. 2024,Dias,2024,10.3390/min14070732,Brazil,1,Seed residue,Acai seed,Single,Açaí seeds,Single superphosphate (SSP),Yes,Phosphate mineral,Slow pyrolysis,NR,Single superphosphate (SSP)-enriched biochar,Yes,Phosphate-enriched,400,400,400,400,60,60.0,NR,,NR,4.25,,4.25,,,NR,15.77,,15.77,NR,NR,26.71,,26.71,biochar,Pot,Gold mining tailings (mine soil),Mine-affected,Naturally contaminated,As,1,As = 3000 mg /kg,6.46,,6.46,2% (T + 2.0BS),2,,365 days,365,70 days,70,435 days,435,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),Sequential arsenic fractionation; SBET (Simple Bioaccessibility Extraction Test),SBET; Sequential extraction,NR,NR,NR,NR,In control BCF = 0.96 and After treatment = 0.12,NR,TRF in control = 1.95 and after treatment = 0.17,NR,In Control HI for both were above 1; after treatment were reduced below 1 for adult and above 1 for children.,HI for carcinogenic reduced but all were above 0.001 for both adults and children.,Yes,No,Yes,Yes,Surface adsorption; Surface complexation; Increased phosphorus availability; Competitive inhibition between phosphate and arsenate uptake; Increased cation exchange capacity; Reduced arsenic bioavailability; Reduced arsenic translocation to shoots,Adsorption; Surface complexation; Ion exchange; Phosphate precipitation; Increased CEC,"SSP-enriched açaí seed biochar improved fertility of gold mining tailings, decreased arsenic uptake and associated non-carcinogenic health risks, and promoted lettuce growth.",Yes,Yes,Yes,Yes,Yes,Very low,Nelson
8,2026-07-03 12:57:39,7,7-1,Qi et al. 2023,Qi,2023,10.1016/j.jhazmat.2023.131921,China,1,Straw,Maize straw,Single,Maize straw,"Bacillus megaterium (phosphate-solubilizing bacterium, PSB)",Yes,Microbial,Slow pyrolysis,NR,Bacillus megaterium (B-PSB),Yes,Microbially loaded,300,300,300,300,120,120.0,100 mesh (0.149 mm),0.149,Mesh,,,NR,,,NR,,,NR,Amino; Carboxyl; Hydroxyl groups (identified by FTIR),OH; COOH; N-H,,,NR,NR,Pot,Agricultural soil,Agricultural,Artificially spiked,Cd,1,10 mg Cd /kg soil,,,NR,1% (w/w),1,,5 days,5,60 days,60,65 days,65,Pak choi (Brassica rapa var. chinensis),Pak choi,Brassica rapa var. chinensis,1,Shoot (leaves),DTPA extraction for available Cd; Modified BCR sequential extraction for Cd fractions,DTPA; BCR sequential extraction; Sequential extraction,26.53% reduction in available Cd compared with Cd-control (column leaching experiment),78.3 mg /kg Cd (shoots),29.8 mg /kg Cd (shoots),61.69% reduction,NR,NR,NR,NR,NR,NR,No,No,No,No,Adsorption; Surface complexation; Biosorption by Bacillus megaterium; Phosphate-mediated precipitation; Increased stable Cd fractions; Reduced exchangeable Cd; Biochar as microbial carrier; Improved rhizosphere microbial community,Adsorption; Surface complexation; Precipitation; Phosphate precipitation; Microbial immobilization,"Biochar-immobilized Bacillus megaterium reduced Cd uptake in Brassica chinensis by 61.69%, decreased available soil Cd, and significantly improved plant growth and nutrient uptake.",No,Yes,Yes,Yes,Yes,Low,Nelson
9,2026-07-02 08:40:59,8,8-1,Nejad et al. 2017,Nejad,2017,10.1007/s12303-016-0059-0,South Korea,1,Husk,Rice husk,Single,Rice husk only,None,No,None,Slow pyrolysis,NR,None,No,None,550,550,550,550,45,45.0,74 um,0.074,Sieved,7.86,,7.86,7.36,,7.36,,,NR,NR,NR,20,,20.0,biochar,Pot,Arsenic-contaminated agricultural farmland soil (loamy sand) near abandoned gold mine,Mine-affected,Naturally contaminated,As,1,As = 3.77 mg /kg,6.69,,6.69,2% (w/w),2,,60 days,60,60 days,60,120 days,120,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),Sequential extraction; AAS determination of residual soil As; stabilization efficiency calculation,Sequential extraction,90% stabilization efficiency,0.36 mg /kg DW As (lettuce leaves at 60 days),"Approximately 0.15 mg /kg DW As (RHB 2%, lettuce leaves",~58% reduction,NR,NR,NR,NR,NR,NR,No,No,No,No,Adsorption on biochar surface; Increased cation exchange capacity; Increased specific surface area; Phosphate competition with arsenate; Surface complexation; Adsorption on Si-rich surfaces; Immobilization through soil stabilization,Adsorption; Surface complexation; Ion exchange; Phosphate precipitation; Increased CEC; Pore filling / surface area,"Rice husk biochar applied at 2% achieved about 90% arsenic stabilization, substantially reduced arsenic accumulation in lettuce leaves, and improved stabilization in contaminated mining soil.",No,Yes,Yes,Yes,No,Moderate,Nelson
10,2026-07-07 17:57:36,9,9-1,Awad et al. 2017,Awad,2017,10.1007/s10653-017-9989-3,South Korea,1,Husk,Rice husk,Single,Rice husk,None,No,None,Slow pyrolysis,NR,None,No,None,500,500,500,500,,NR,NR,,NR,10.2,,10.2,24.64,,24.64,35.9,,35.9,NR,NR,,,NR,NR,Growth chamber,Naturally contaminated sandy loam agricultural soil,Agricultural,Naturally contaminated,As; Pb,2,As = 1940 mg /kg; Pb = 1445 mg /kg,4.9,,4.9,2.5% (w/w),2.5,,7 days,7,40 days,40,47 days,47,Chinese cabbage (Brassica rapa ssp. pekinensis),Chinese cabbage,Brassica rapa ssp. pekinensis,1,Shoot (leaves),1 M NH4OAc extraction followed by ICP-OES determination of exchangeable/bioavailable As and Pb,NH4OAc,Pb: approximately 21% reduction compared with control (estimated from Fig. 4a); As: no significant reduction compared with control,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,No,No,Surface adsorption; Surface complexation; Increased soil pH; Increased negative surface charge; Ligand exchange with hydroxyl functional groups; Pb precipitation; Immobilization through porous biochar structure,Increased soil pH; Adsorption; Surface complexation; Precipitation; Pore filling / surface area; Functional group binding,"Rice husk biochar (2.5%) improved Chinese cabbage germination and reduced Pb bioavailability in naturally contaminated soil, although it did not significantly decrease bioavailable As.",No,Yes,Yes,Yes,Yes,Low,Nelson
11,2026-07-08 14:24:59,11,11-1,Boostani et al. 2020,Boostani,2020,10.1080/03650340.2019.1634805,Iran,1,Husk,Rice husk,Single,Rice husk,None,No,None,Slow pyrolysis,NR,None,No,None,550,550,550,550,240,240.0,<2.0 mm,2,Sieved,10.7,,10.7,,,NR,37.67,,37.67,Si-O (1100 /cm); Si-O-Si; Si-H (800 /cm); CaCO3 C-O (875 /cm); lignin C-C/C-O; reduced carboxyl/carbonyl groups due to carbonization,COOH; C=O; C-O; CO3; Si-O,9.5,,9.5,soil,Pot,Calcareous agricultural silt loam soil,Agricultural,Artificially spiked,Ni,1,300 mg Ni /kg,7.8,,7.8,2.5% (w/w),2.5,,14 days,14,8 weeks (56 days),56,70 days,70,Spinach (Spinacia oleracea),Spinach,Spinacia oleracea,1,Shoot (leaves),"Sequential extraction (Singh et al., 1988); Ni Bioavailability Index calculated from water-soluble + exchangeable (WsEx) and carbonate fractions",Water extraction; Sequential extraction,15% reduction in Ni bioavailability index relative to control,26.17 mg Ni /kg (Ni2 control shoots),10.00 mg Ni /kg (Ni2 + RHB550),61.8% reduction (calculated),NR,NR,NR,NR,NR,NR,No,No,No,No,Surface adsorption; Electrostatic attraction; Increased soil pH; Ni(OH)2 precipitation; Ni-silicate formation; Carbonate precipitation; Ion exchange; Conversion of exchangeable Ni into residual and Fe oxide-bound fractions,Increased soil pH; Adsorption; Ion exchange; Precipitation; Electrostatic interaction; Carbonate precipitation; Fe/Mn oxide binding,Rice husk biochar produced at 550 degC reduced Ni bioavailability by 15% and decreased spinach Ni concentration by approximately 62% through enhanced Ni stabilization in calcareous soil.,Yes,Yes,Yes,Yes,Yes,Very low,Nelson
12,2026-07-08 14:48:23,11,11-2,Boostani et al. 2020,Boostani,2020,10.1080/03650340.2019.1634805,Iran,1,Pulp,Licorice root pulp,Single,Licorice root pulp,None,No,None,Slow pyrolysis,NR,None,No,None,550,550,550,550,240,240.0,<2.0 mm,2,Sieved,9.8,,9.8,,,NR,26.14,,26.14,O-H stretching; Aliphatic C-H; C=O (carboxyl/carbonyl); Aromatic C=C; Phenolic C-O; Reduced oxygen-containing functional groups after pyrolysis; Increased aromatic carbon structure,OH; COOH; C=O; C=C; C-O; C-H,9.5,,9.5,biochar,Pot,Calcareous agricultural silt loam soil,Agricultural,Artificially spiked,Ni,1,300 mg Ni /kg,7.8,,7.8,2.5% (w/w),2.5,,14 days,14,56 days,56,70 days,70,Spinach (Spinacia oleracea),Spinach,Spinacia oleracea,1,Shoot (leaves),Sequential extraction,Sequential extraction,Approximately 13% reduction in Ni Bioavailability Index relative to Ni control,"26.17 mg Ni /kg (shoots, Ni2 control)","11.23 mg Ni /kg (shoots, Ni2 + LRB550)",57.1% reduction (calculated),NR,NR,NR,NR,NR,NR,No,No,No,No,Surface adsorption; Surface complexation; Ion exchange; Increased soil pH; Electrostatic attraction; Ni precipitation with carbonates; Transformation of exchangeable Ni into residual and Fe oxide-bound fractions,Increased soil pH; Adsorption; Surface complexation; Ion exchange; Precipitation; Electrostatic interaction; Carbonate precipitation; Fe/Mn oxide binding,"Licorice root pulp biochar produced at 550 degC reduced Ni bioavailability, decreased spinach Ni concentration by approximately 57%, and enhanced Ni stabilization through increased residual metal fractions in calcareous soil.",Yes,Yes,Yes,Yes,Yes,Very low,Nelson
13,2026-06-28 20:56:53,12,12-1,Sehar et al. 2018,Sehar,2018,10.1007/s12517-018-4006-4,Pakistan,1,Agricultural residue,Sugarcane filter cake,Single,Sugarcane filter cake,None,No,None,Slow pyrolysis,NR,None,No,None,575,575,575,575,180,180.0,NR,,NR,,,NR,,,NR,,,NR,NR,NR,,,NR,NR,Pot,Agricultural soil,Agricultural,Artificially spiked,Cd,1,Cd = 7 mg/kg,7.8,,7.8,"0, 1.5%, 3%, and 5%) but 5% (w/w) was highest-performing treatment",5,,1 month (aging after spiking) + 3 weeks (after biochar application at 40% Water holding capacity),51,60 days,60,60 days,60,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),DTPA,DTPA,37% reduction,NR,NR,37% reduction (Cd concentration in leaves),NR,NR,NR,NR,NR,NR,No,No,No,No,"Surface complexation, Precipitation, sorption",Adsorption; Surface complexation; Precipitation,"Sugarcane filter-cake biochar (5%) reduced Cd bioavailability and uptake in lettuce, improved growth, chlorophyll, and antioxidant enzymes while reducing oxidative stress.",Yes,Yes,Yes,No,Yes,Low,Emmy
14,2026-08-05 18:39:13,15,15-1,Fatima et al. 2026,Fatima,2026,10.1080/15226514.2025.2585517,Pakistan,1,Crop residue,Sugarcane bagasse,Single,Sugarcane bagasse,"Compost, Perlite; ferrimagnetic chitosan beads containing chitosan, EDTA and Fe3O4",Yes,Organic,Slow pyrolysis,NR,None,No,None,450,450,450,450,180,180.0,NR,,NR,,,NR,,,NR,,,NR,NR,NR,,,NR,NR,Pot,Pot soil from the Botanical Garden,Experimental/other,Artificially spiked,Cr,1,Control soil Cr: 6 ± 0.5 mg /kg; Cr treatment supplied at 100 ppm. The unamended Cr-100 treatment contained 61 ± 6 mg Cr /kg soil after treatment.,,,NR,1% VPM w/w,1,,NR,,NR,,NR,,Broccoli (Brassica oleracea var. italica),Broccoli,Brassica oleracea var. italica,1,Shoot (leaves),Residual soil Cr and Cr in leachate were measured using AOAC procedures.,AOAC,"Cr leaching decreased from 2.79 ± 0.03 mg /L under Cr-100 to 1.61 ± 0.07 mg /L under Cr-100 + VPM + FMB, representing a 42.3% reduction",118 ± 6.7 ug Cr /g in broccoli leaves under the unamended Cr-100 treatment,68.7 ± 4.58 ug Cr /g in broccoli leaves under Cr-100 + VPM + FMB,41.8% reduction in leaf Cr concentration relative to Cr-100 without amendments,NR,NR,NR,NR,NR,NR,No,No,No,No,Pore filling by porous biochar; electrostatic interactions; ion exchange; surface complexation; Cr chelation by chitosan amino and hydroxyl groups; EDTA-assisted complexation; adsorption onto Fe3O4-containing beads; surface precipitation; increased soil pH; increased organic matter; improved nutrient retention; reduced Cr leaching and transfer to leaves,Increased soil pH; Adsorption; Surface complexation; Ion exchange; Precipitation; Electrostatic interaction; Increased SOM/DOC; Pore filling / surface area; Functional group binding,"Combined bagasse VPM and FMB reduced Cr leaching by 42.3% and leaf Cr by approximately 42%, while improving broccoli physiology, biomass and yield.",Yes,Yes,Yes,No,Yes,Low,Nelson
15,2026-06-29 16:54:34,16,16-1,Peng et al. 2020,Peng,2020,10.1016/j.jclepro.2020.124052,China,1,Husk,Rice husk,Single,Rice husk,None,No,None,Slow pyrolysis,NR,None,No,None,600,600,600,600,,NR,<1.0 mm,1,Sieved,10.4,,10.4,172.16,,172.16,,,NR,"C-O, C=O, CO32-, aromatic C groups (FTIR/XPS hydroxyl, carboxylic, carbonate functional groups)",OH; COOH; C=O; C=C; C-O; CO3,,,NR,NR,Pot,Loam soil(Yellow surface soiL),Agricultural,Artificially spiked,As; Cd; F; Hg; Pb,5,NR,7.14,0.07,7.14 +/- 0.07,6% w/w (60 g biochar per 1 kg soil),6,,1 week,7,22 days (water spinach),22,29 days (1 week equilibration + 22 days growth),51,Water spinach (Ipomoea aquatica),Water spinach,Ipomoea aquatica,1,Shoot (leaves),NR,NR,NR,"Control (no biochar, no PG): As =0.5, F =2.5, Cd =0.4, Pb=0.7, Hg =0.01 mg/kg","RHB only in loam: As= 0.5, F=2.0,Cd =0.3, Pb=0.4 mg/kg",Slight reduction compared to contro,NR,NR,NR,NR,NR,NR,No,No,No,No,"Surface complexation, Ion exchange, Precipitation, Electrostatic interaction, Ligand exchange with hydroxyl groups, Complexation with O-containing functional groups",Surface complexation; Ion exchange; Precipitation; Electrostatic interaction; Functional group binding,"Rice husk biochar (6%, 600 degC) alone increased water spinach yield by 13.6% and slightly reduced PTE uptake in loam soil, but was less effective than RHB+PG combination",Yes,Yes,Yes,Yes,Yes,Very low,Emmy
16,2026-06-29 17:12:57,16,16-2,Peng et al. 2020,Peng,2020,10.1016/j.jclepro.2020.124052,China,1,Husk,Rice husk,Single,Rice husk,None,No,None,Slow pyrolysis,NR,None,No,None,600,600,600,600,,NR,<1.0 mm,1,Sieved,10.4,,10.4,172.16,,172.16,,,NR,"C-O, C=O, CO32-, aromatic C groups",C=O; C=C; C-O; CO3,,,NR,NR,Pot,"Sand (medium quartz, 0.25-0.5 mm)",Experimental/other,Naturally contaminated,As; Cd; F; Hg; Pb,5,As =0.2; F =3.5; Cd =0.35; Pb =0.35; Hg =0.01 mg/kg (background in sand),,,NR,6% w/w (60 g biochar per 1 kg sand),6,,1 week,7,42 days,42,49 days,49,Lettuce (Lactuca sativa),Lettuce,Lactuca sativa,1,Shoot (leaves),NR,NR,NR,As =0.2; F =3.5; Cd=0.35; Pb=0.35; Hg=0.01 mg/kg,As=0.1; F=2.5; Cd =0.2; Pb=0.2; Hg=0.01 mg/kg,Moderate reduction,NR,NR,NR,NR,NR,NR,No,No,No,No,"Surface complexation, Ion exchange, Precipitation, Electrostatic interaction",Surface complexation; Ion exchange; Precipitation; Electrostatic interaction,"RHB alone in sand increased asparagus lettuce yield by 328% and reduced PTE uptake,",Yes,Yes,Yes,Yes,Yes,Very low,Emmy
17,2026-06-29 17:44:35,16,16-3,Peng et al. 2020,Peng,2020,10.1016/j.jclepro.2020.124052,China,1,Husk,Rice husk,Single,Rice husk,"Phosphogypsum (PG), 10% w/w",Yes,Phosphate mineral,Slow pyrolysis,NR,None,No,None,600,600,600,600,,NR,<1.0 mm,1,Sieved,10.4,,10.4,172.16,,172.16,,,NR,"C-O, C=O, CO32-, aromatic C groups",C=O; C=C; C-O; CO3,,,NR,NR,Pot,Loam soil,Agricultural,Naturally contaminated,As; Cd; F; Hg; Pb,5,soil background: As =0.5; F =2.5; Cd =0.4; Pb =0.7; Hg =0.01 mg/kg,7.14,,7.14,6% w/w (60 g biochar per 1 kg soil),6,,1 week,7,22 days (water spinach),22,29 days,29,Water spinach (Ipomoea aquatica),Water spinach,Ipomoea aquatica,1,Shoot (leaves),NR,NR,NR,As=0.5; F=2.5; Cd=0.4; Pb=0.7; Hg=0.01 mg/kg,As=1.7; F=2.2; Cd =0.4; Pb =0.7; Hg=0.1 mg/kg,"Compared to PG-only treatment the percentage uptake decreased by: As decreased39%, F decreased41%, Cd decreased75%, Pb decreased86%",NR,NR,NR,NR,NR,NR,No,No,No,No,"Surface complexation, Ion exchange, Precipitation, Electrostatic interaction,Ligand exchange with hydroxyl groups, Complexation with O-containing functional groups",Surface complexation; Ion exchange; Precipitation; Electrostatic interaction; Functional group binding,"RHB+PG in loam soil reduced As (39%), F (41%), Cd (75%), Pb (86%) in water spinach and increased yield by 56% compared to control",Yes,Yes,Yes,Yes,Yes,Very low,Emmy
